time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,-0.017612333114116356,5.737978039970714e-07,10.041889557529567,0.0002547342750949255,0.4380656146842572,0.0,-0.9576473740078262,4.824298050164309e-05,1.2244278953177004,0.011613814040605058,-10.814730183946534,0.0
0.12000000000000001,-0.07506032571204603,1.2622998561517684e-05,10.136050023352361,0.0010944467670350733,5.394465131370119,0.0,-0.9382110275789073,-0.00010328628967332522,1.02675727770028,0.018374433797319005,-19.276950889322492,0.0
0.18,-0.10967773416646233,0.001564423779562238,10.2277461867588,0.15647983799450493,0.6881977164368243,0.0,-0.8044889483354699,0.0898028646337028,2.1279283580782016,0.9222720071817967,-23.33875450416358,0.0
0.23999999999999996,-0.20598448716801174,0.013934442313193091,10.379872868982796,0.2115403792147541,0.8378492297398061,0.0,-2.515194362358231,0.3104331961892609,2.8095877845212733,0.9064924023169976,-26.397200065339817,0.0
0.3,-0.3940172078563779,0.04364113209930791,10.579540139401422,0.26578530076965645,5.846919799063232,0.0,-3.4259934714870184,0.7296733704395842,3.996044055518737,0.8988098562436639,-27.79721301924692,0.0
0.36000000000000004,-0.560744282767027,0.09931712272307622,10.844167225965178,0.3483531225246832,4.178577704010099,0.0,-1.8563825030688275,1.0195608734572035,4.429814728788783,1.257314114165119,-27.823937085409828,0.0
0.4200000000000001,-0.6611993477167641,0.15522480432661917,11.083847552364228,0.7988411526025878,1.8089953752748311,0.0,-1.6301297030138966,1.0171858255440733,3.6903579202941996,11.928297390266682,-19.620580995433265,0.0
0.48000000000000015,-0.7714607254573898,0.21800787509808625,11.281520192664289,0.14341983972773598,3.9541351349569798,0.0,-1.8229712863451701,1.1449956536133519,3.0666965896854834,20.005387146927788,-15.265759555823676,0.0
0.5400000000000001,-0.8638445265630342,0.28389702233757524,11.443267727986244,5.2918225034330675,4.357758936530992,0.0,-1.2184598885630726,1.1150445856427609,2.466886913569469,24.73351821069,-12.533059972224688,0.0
0.6000000000000002,-0.916614963850848,0.3535883953049609,11.568024301709578,1.4849785341150046,4.243087066981502,0.0,-0.5435038161843013,1.1183657831750946,1.6803226987855282,27.055241155430796,-10.648554190274037,0.0
0.6600000000000003,-0.9302490551819689,0.4114085652360341,11.654193861046586,3.3219382157265613,3.953913659997456,0.0,0.07380460442245534,0.8431123962756454,1.288000350377,28.09382752315517,-9.266307538721454,0.0
0.7200000000000003,-0.9109622911673181,0.46929650315311244,11.726499696655452,5.053868004169388,3.6080782715527775,0.0,0.5405261760228818,1.1975945568516382,1.0437199062412723,28.543685050980898,-8.20721782322126,0.0
0.7800000000000004,-0.8700197850339741,0.5557038207738757,11.759953630325372,0.4936279975316147,3.2508026851773213,0.0,0.7883027824378773,1.558590758255312,-0.037443242515474484,28.727344079158605,-7.368812766489857,0.0
0.8400000000000004,-0.8217361728567615,0.6346698106826485,11.726108593426765,2.2198645776857724,2.9003469672190167,0.0,0.7831452709371751,0.990968324892241,-0.9371570398691045,28.798574467531168,-6.6880504168841455,0.0
0.9000000000000005,-0.7812469320599412,0.682976987716375,11.667828584923699,3.9487794677323986,2.5639553650773816,0.0,0.531997630867261,0.7772005104902338,-0.9593871498029377,28.832128262937754,-6.123947474780406,0.0
0.9600000000000005,-0.7623444620161268,0.7441715309675172,11.600032533022285,5.67932078686794,2.2440917414169075,0.0,0.07160269096591607,1.2694388711630866,-1.4379177340888654,28.85420321463001,-5.648676396851182,0.0
1.0200000000000005,-0.7757838148025707,0.8241426235765861,11.484952556767146,1.1274547477614387,1.941088007298763,0.0,-0.5381344169621708,1.298921448966579,-2.376489453305009,28.856952981532995,-5.242643170309487,0.0
1.0800000000000005,-0.8288567271721577,0.8956931596736416,11.32361780464075,2.8589160973573104,1.6543306203163954,0.0,-1.2389764030917458,1.1170370796904858,-2.9574108115398055,28.85877595439322,-4.891649714407173,0.0
1.1400000000000006,-0.9249153704838459,0.9622811017395656,11.129545546527025,4.590330395053154,1.3828173189243111,0.0,-1.9614630325354279,1.097388153753613,-3.540077421378396,28.853905692822707,-4.585144957484309,0.0
1.2000000000000006,-1.063743555478241,1.023841117122741,10.900285045625974,0.03831007977919576,1.1254212767447047,0.0,-2.662187797337351,0.9567728550509216,-4.050308058907477,28.85094015081138,-4.315127079425601,0.0
1.2600000000000007,-1.2430394727159133,1.0845296295414417,10.647892430111307,1.7693663636675918,0.8810174417081225,0.0,-3.296587109941891,1.1456527504431864,-4.387999416458772,28.85093491545226,-4.075413260000692,0.0
1.3200000000000007,-1.45570929336257,1.164090792351006,10.361289176988967,3.500388949725952,0.6485407514592643,0.0,-3.7654184782737774,1.432261872438004,-5.251395183703384,28.849518521987736,-3.8611405047187595,0.0
1.3800000000000008,-1.6929904798922684,1.2408332595013756,10.016617330439756,5.231277538389726,0.4270080042495721,0.0,-4.140553819524749,1.0235908128745932,-6.150566406583932,28.84597410239467,-3.66844683057674,0.0
1.4400000000000008,-1.9506078243196465,1.290036185000274,9.642337262991717,0.6788092155868339,0.21552514795086708,0.0,-4.424072530531923,0.757014631863032,-6.251292785135588,28.844217028466872,-3.4942115314501407,0.0
1.5000000000000009,-2.220771319888494,1.3511059104325656,9.260902510389249,2.4093983032830906,0.013284774203791372,0.0,-4.558063381275433,1.3420534643752386,-6.61378428933156,28.841487763295063,-3.335892649094329,0.0
1.560000000000001,-2.4947401801929847,1.438954623875515,8.830956133899331,4.139746882778157,6.10274559146276,0.0,-4.557966902456156,1.4372460079562746,-7.748580138208774,28.835322468614653,-3.1913973566985625,0.0
