time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.752484590823166e-10,-7.942595436730516e-10,0.06996073014792763,6.283185061814301,2.392986777621786e-07,0.0,-7.75093671445945e-08,-7.944223369702409e-08,2.330383238522858,-1.2270885658579362e-05,1.1965073382776094e-05,0.0,899.9989727272322,899.9994568322965,900.0003150613584,899.9998185836453
0.12000000000000001,-3.909445627253606e-08,-3.581315826029199e-08,0.2790783928374753,6.283185228553172,1.3782144980822864e-06,0.0,-1.594068713275856e-06,-1.2076365546445232e-06,4.633915295951549,3.286677231183692e-05,3.301430078323254e-05,0.0,899.9982276141872,899.9990790480049,899.9991067752891,900.000933460382
0.18,-2.8362936233666835e-07,-7.80179339331676e-08,0.6248191578453077,3.8114514380183095e-06,3.4055856898973502e-06,0.0,-7.376860929813252e-06,1.0222940963755415e-06,6.880143753734923,0.00012870451805363763,3.534017658372091e-05,0.0,899.9989042477014,899.9989975951787,899.9971155510278,900.0009929450099
0.23999999999999996,-1.040637095432047e-06,4.242469812190044e-07,1.1029001614641707,1.3978647666057498e-05,5.434799035697324e-06,0.0,-1.864264412807931e-05,1.9265595137938774e-05,9.041437240019537,0.0002508401299223149,3.0779630847318785e-05,0.0,899.9990226338938,899.9988372478921,899.9962195069672,900.0011591952104
0.3,-2.620456008215183e-06,2.9205727675246705e-06,1.707499131289714,3.100986355697444e-05,7.551661331817172e-06,0.0,-3.4686235115678574e-05,6.988205026692976e-05,11.094276735213352,0.00034981001050689086,4.42838677650003e-05,0.0,899.9991559538104,899.9997017714469,899.9961153223899,900.0001149652577
0.36000000000000004,-5.3120725118462734e-06,9.768036743534419e-06,2.4315294508234464,5.4064264875641754e-05,9.997895493718545e-06,0.0,-5.581724867644153e-05,0.00016580499869039194,13.020132650187204,0.00045302289311769924,3.374184483094936e-05,0.0,899.998662036799,899.9982343197663,899.9967257611241,900.0008951072986
0.4200000000000001,-9.407531868428087e-06,2.3962863544154924e-05,3.26695414701697,8.319083930619087e-05,1.254017477414493e-05,0.0,-8.127018441452198e-05,0.0003158962551325982,14.805882933780081,0.0005502152137590812,5.962768062743499e-05,0.0,899.9974271876451,899.9984741715097,899.9975348553103,900.0014583826649
0.48000000000000015,-1.5176661529306787e-05,4.8940302310956686e-05,4.205111167096247,0.000118999975815548,1.7387046090888703e-05,0.0,-0.00011211352055924239,0.0005259304220270528,16.443778763930954,0.000689879703764749,0.0001230620544624099,0.0,899.9967468427667,899.9993132076532,899.9972119079497,900.0028526604011
0.5400000000000001,-2.3080754059216566e-05,8.846461717327914e-05,5.237025061578622,0.00016277028856581666,2.4112713503221528e-05,0.0,-0.00015308547722177795,0.0008016704262150083,17.9310398463056,0.0008086522120522914,9.014638124371848e-05,0.0,899.9992005957506,899.9978652528679,899.9977630982925,900.0025552222687
0.6000000000000002,-3.3730329789410696e-05,0.0001465984315986433,6.353685929509968,0.00021356940043215644,2.8366390261602703e-05,0.0,-0.00020271871891322605,0.0011463884781462248,19.269184985368373,0.0009225560908417176,3.2356393390016566e-05,0.0,899.9994879542829,899.9971463309962,899.9978903028677,900.00248285695
0.6600000000000003,-4.744747857866977e-05,0.00022748282710961503,7.546283635692623,0.00027099503053307217,3.043491121701436e-05,0.0,-0.00025444389635693136,0.0015598067210213793,20.463227126694907,0.0010260918960505337,3.871368861868349e-05,0.0,899.9990728090062,899.9993294220227,899.9992102802678,900.0033806980331
0.7200000000000003,-6.425598881385338e-05,0.00033517004022651405,8.806390814727896,0.0003328499807082608,3.2744820740227e-05,0.0,-0.0003057943516704591,0.0020391134048858162,21.520785933813592,0.0010405636863987336,3.8068019225356674e-05,0.0,899.9986947162467,899.9986676664902,900.0006874143689,900.0012497784968
0.7800000000000004,-8.413190760565873e-05,0.00047338580053013957,10.126095371915614,0.00039490956271936994,3.4506277697410326e-05,0.0,-0.00035658786771081044,0.0025756989254694094,22.45130089431407,0.0010218466809877888,1.1927927767208573e-05,0.0,900.0005421132498,899.9994828744273,900.0023573053104,900.001575618059
0.8400000000000004,-0.00010700101584076284,0.0006452091323100093,11.49808599793635,0.0004555312619984875,3.479988443810811e-05,0.0,-0.00040524986571453505,0.003157577328191765,23.265259570754807,0.0009873777042620922,-9.181828708541511e-06,0.0,899.9999232430207,899.9990682582777,900.0020323228198,900.0006132455238
0.9000000000000005,-0.0001326805605021356,0.0008530081436933534,12.915697316718763,0.0005129614276633276,3.351349237856738e-05,0.0,-0.00045004703107812735,0.003773221747452157,23.97362502737023,0.0008966736274001626,-4.597177731384679e-05,0.0,900.0000599391434,899.9985705439508,900.0023331077123,899.9986378073091
0.9600000000000005,-0.0001608862672219638,0.001098458222973129,14.372923215822325,0.0005654028011932155,2.9989250976747428e-05,0.0,-0.0004891542838796627,0.004410890716665608,24.58734869088273,0.0008286747964350991,-8.42855095890861e-05,0.0,900.0001258704432,899.9985756080729,900.001515594647,899.9987416046928
1.0200000000000005,-0.00019122021845080988,0.00138257865063841,15.864404933106789,0.0006137559631547163,2.4280765231310397e-05,0.0,-0.0005207557972300458,0.005061108918103478,25.11701426729813,0.000760261282391792,-0.00011686617752001986,0.0,899.9996970958975,899.998379841675,900.0011095540304,899.9983202537583
